Companies,Industries,Headquarters,Affected_Date
"Star-Tam, Inc.",Battery wholesaler,"SAN LEANDRO, California",Jan-01
"Chris-Leef General Agency, Inc",Insurance,"Shawnee Mission, Kansas",Jan-01
Millstone Township School District,Preschool & Child Care,"Clarksburg, NJ",Jan-01
Horizon Controls,Consulting,"Plymouth Meeting, PA",Jan-01
Adam Kutner Cares,Legal,"Las Vegas, NV",Jan-01
 Neel Veterinary Hospital,Veterinary,"Oklahoma City, OK",Jan-01
Pearson Foods Corporation,Food Production,"Grand Rapids, MI",Jan-01
Earthly Choice,Food Production,"Cedar Grove, NJ",Jan-01
Siegfried &amp; Jensen,Legal,"Salt Lake City, UT",Jan-01
News Galstan and Ward Family,Dentistry,"Virginia, VA",Jan-01
Manitoulin Transport,Logistics & Supply Chain,"Gore Bay, Canada",Jan-01
Tile Liquidators,"Department, Clothing, & Shoe Shops","Chanhassen, MN",Jan-01
"City of Casey, Illinois",Government Administration,"Casey, IL",Jan-01
Inter-Con Servicios de Seguridad Privada ,Security Service,"Pasadena, CA",Jan-01
Higginbotham Family Dental,Healthcare Services & Hospital,"Blytheville, AR",Jan-01
Washington County Sheriff,Government,"Stillwater, MN",Jan-01
Ruddy Joinery,Construction,"Flitwick, United Kingdom",Jan-01
Prominent Europe Ltd ,Retail,"Nottingham, United Kingdom",Jan-01
The Acorn,Research & Development,"Singapore, Singapore",Jan-01
Herman Goldner Co Inc,Accounting,"Philadelphia, PA",Jan-01
Ostiguy Ford,Automotive,Canada,Jan-01
MAT GmbH,Automotive,"Neunkirchen, Germany",Jan-01
The Judge Organization Companies,Transportation Management,"Newark, NJ",Jan-01
New York Foundation for Senior Citizens,Social Services,"New York, NY",Jan-01
Emergency Air,Individual & Family Services,"Chandler, AZ",Jan-01
Stone Legends,Construction,"Dallas, TX",Jan-01
NWH Group,Environmental Services,"Dalkeith, United Kingdom",Jan-01
Dci Shires Inc,Construction,"Bluefield, WV",Jan-01
 BRANDENBURG TELEPHONE,Telecommunications,"Upton, KY",Jan-01
Fpos Group,Computer Software,"Akron, Ohio",Jan-01
Tkemlups te Secwepemc,Government Administration,"Kamloops, Canada",Jan-01
Diaco Law,Law Practice,"Toronto, Canada",Jan-01
ATB Morley,Electrical & Electronic Manufacturing,"Leeds, United Kingdom",Jan-01
Middlesex Housing Limited,Construction,"Tewksbury, MA",Jan-01
Swisher Commercial,Commercial Real Estate,"Ann Arbor, MI",Jan-01
Fresno Equipment Co,Machinery,"Fresno, CA",Jan-01
Comcast Business Starter Internet,Telecommunications Service,"Philadelphia, PA",Jan-01
Fall River Housing Authority,Government,"River Falls, WI",Jan-01
Milmont Greenhouses Inc,Farming,"Waynesboro, VA",Jan-01
Ringley Group,Real Estate,"London, United Kingdom",Jan-01
City of Key West Florida,Local Government,"Key West, FL",Jan-01
E.W. Wylie Corporation,Trucking,"West Fargo, ND",Jan-01
Trinity Supply Chain Solutions,Logistics & Supply Chain,"Davenport, IA",Jan-01
"Daniel B. Hastings, Inc.",Import & Export,"McAllen, TX",Jan-01
City of North Tonawanda N.Y.,Government Administration,"North Tonawanda, NY",Jan-01
"The Washington Firm, Ltd.",Human Resources,"Seattle, WA",Jan-01
North Tippah School District,Education,"Tiplersville, Mississippi",Jan-01
Nation Huronne-Wendat,Government Administration,"Quebec, Canada",Jan-01
Sign Language XL,Printing,"Denver, CO",Jan-01
Tools and Metals Supply,Metals Manufacturing,"San Diego, California",Jan-01
TrilliumCcollege,Colleges & Universities,"Toronto, Canada",Jan-01
Data Evolution Corporation,IT Service,"Manchester, NH",Jan-01
ITD Print Solutions Inc,Software & Technical Consulting,"Los Angeles, CA",Jan-01
Family Health Centers Of Georgia Inc,Hospital & Health Care,"Atlanta, GA",Jan-01
"Baldwin Accounting CPA, P.A. (BACPA)",Accounting,"Richmond, KY",Jan-01
Greater Allen Development Corporation,Estate Agent,"Columbus, GA",Jan-01
Weirs Furniture,Home Furniture and Houseware Shops,"Dallas, TX",Jan-01
Palmieri furniture,Furniture,"Ontario, Canada",Jan-01
Delme-Werkstätten gGmbH,,Germany ,Jan-01
Varroc Lighting Systems,Miscellaneous Manufacturing,"Aurangabad, India",Jan-01
Top Rocker Harley-Davidson,Transport Equipment Manufacturing,"Milwaukee, WI",Jan-01
Golden Gate Regional Center,Social Services,"San Francisco, CA",Jan-01
Crossroads Courier Inc,Express Delivery Service,"Saint Louis, MO",Jan-01
CORE Information Technology Consultants Ltd.,IT Service,"London, United Kingdom",Jan-01
Hi-Line Moving Services,Commercial Equipment Repair & Maintenance,"Dallas, TX",Jan-01
Whistl.UK,Logistics & Supply Chain,"Marlow, United Kingdom",Jan-01
Omnetics Connector Corporation ,Electrical & Electronic Manufacturing,"Fridley, MN",Jan-01
LABORATOIRES EXPANSCIENCE,Biotech & Pharmaceutical,"Courbevoie, France",Jan-01
