Ransomware ,Company Name,Industry,Headquarters,Country,Date of attack,APAC? (Yes/No),Type of data leaked
Conti,Tirrena Scavi,Construction,"Massarosa, Italy",Italia,2/17/2021,No,Entire System
Conti,Total Fitness,Fitness,"Bristol, RI",Kingdom,2/17/2021,No,Entire System
Conti,SkyeTec,Utilities,"Jacksonville, FL",States,2/16/2021,No,Computer Files
Conti,Supply New England,Utilities,"Attleboro, MA",States,2/16/2021,No,Entire System
Conti,"Pace Center for Girls, Inc.",Education,"Jacksonville, Florida",States,2/13/2021,No,Entire System
Conti,Innovsource,Financial,"Mumbai, India",India,2/13/2021,Yes,Entire System
Conti,Prima Frutta,Manufacturing,"Linden, CA",States,2/12/2021,No,Entire System
Conti,Leon Medical Centers,Healthcare,"Miami, FL",States,2/12/2021,No,Entire System
Conti,Scotch Plywood Company,Manufacturing,"Fulton, AL",Canada,2/11/2021,No,Entire System
Conti,Trudeau Corporation Inc,Manufacturing,"Boucherville, Canada",States,2/10/2021,No,Undisclosed
Conti,Penn Emblem,Advertising & Marketing,"Trevose, PA",States,2/10/2021,No,Entire System
Conti,Nocona General Hospital,Healthcare,"Nocona, TX",Canada,2/10/2021,No,Undisclosed
Conti,remaxkelowna,Retail & Sales,"Kelowna, BC",Deutschland,2/10/2021,No,Undisclosed
Conti,Netcom Kassel,Technology,"Kassel, Germany",States,2/8/2021,No,Entire System
Conti,ColorPoint Print,Retail & Sales,"Troy, MI",States,2/8/2021,No,Entire System
Conti,MUNOZ TRUCKING,Retail & Sales,"North Arlington, NJ",States,2/5/2021,No,Entire System
Conti,"DOUG HOLLYHAND REALTY, INC.",Construction,"Northport, AL",States,2/3/2021,No,Entire System
Conti,Allegheny InterAdvertising & Marketingte Unit,Education,"Homestead, PA",Canada,1/31/2021,No,Computer Files
Conti,VENTILABEC,Construction,"Laval, Canada",States,1/27/2021,No,Entire System
Conti,Orcas Naturals,Manufacturing,"Roxbury Township, NJ",States,1/26/2021,No,Computer Files
Conti,CARLBELT,Construction,"Cumberland, MD",States,1/25/2021,No,Entire System
Conti,Murchison & Cumming,Legal,"Los Angeles, CA",States,1/25/2021,No,Entire System
Conti,"Warren, Washington and Albany Counties ARC",Essential Services,"Queensbury, NY",States,1/23/2021,No,Entire System
Conti,Gulf Copper,Retail & Sales,"Port Arthur, TX",States,1/22/2021,No,Entire System
Conti,Rotek Incorporated,Manufacturing,"Aurora, OH",States,1/22/2021,No,Entire System
Conti,Sunny Hills Management Co,Financial,"West Covina, CA",States,1/21/2021,No,Undisclosed
Conti,Metroplex Cabinets,Manufacturing,"Corinth, TX",States,1/21/2021,No,Entire System
Conti,Scottish environment protection agency,Utilities,"Stirling, United Kingdom",Kingdom,1/21/2021,No,Entire System
Conti,Stark Metal Sales Inc,Manufacturing,"Canton, OH",States,1/21/2021,No,Entire System
Conti,John Brooks Company,Manufacturing,"Mississauga, Canada",Canada,1/20/2021,No,Entire System
Conti,MEDTRON,Healthcare,"Covington, LA",States,1/20/2021,No,Entire System
Conti,The Fayette County Emergency Management Agency,Government,"Uniontown, PA",States,1/20/2021,No,Computer Files
Conti,Legacyfarms LLC,Retail & Sales,"Pierson, FL",States,1/19/2021,No,Undisclosed
Conti,Fattorie Garofalo Soc. Coop. Agricola,Retail & Sales,"Capua CE, Italy",Italia,1/19/2021,No,Entire System
Conti,Creccal Investments Ltd / company profile,Financial,"Westmount, Canada",Canada,1/19/2021,No,Computer Files
Conti,Sangoma,Technology,"Markham, Canada",Canada,1/19/2021,No,Entire System
Conti,Schick Civil Construction Ltd,Construction,"Hamilton, New Zealand",Aotearoa,1/15/2021,Yes,Entire System
Conti,The Abaco Club on Winding Bay,Entertainment,"Marsh Harbour, Bahamas",Bahamas,1/15/2021,No,Entire System
Conti,Gastroenterology Consultants,Healthcare,"Evans, GA",States,1/13/2021,No,Entire System
Conti,Legacy Farms Llc,Food,"Baltimore, MD",States,1/12/2021,No,Undisclosed
Conti,Ashland Technologies,Manufacturing,"Wilmington, DE",States,1/11/2021,No,Computer Files
Conti,NORWESCAP,Essential Services,"Phillipsburg, NJ",States,1/11/2021,No,Entire System
Conti,Weslaco Independet School District,Education,"Weslaco, TX",States,1/11/2021,No,Entire System
Conti,DeLonghi America Inc.,Manufacturing,"Upper Saddle River, NJ",States,1/11/2021,No,Entire System
Conti,Tsys Payment Solutions,Financial,"Columbus, GA",States,1/11/2021,No,Entire System
Conti,"Taylor Made Diagnostics, Inc",Healthcare,"Chesapeake, VA",States,1/8/2021,No,Entire System
Conti,G&D Integrated,Logistics and Supply,"Morton, IL",States,1/6/2021,No,Entire System
Conti,White Management Corp.,Entertainment,"Los Angeles, CA",States,1/6/2021,No,Entire System
Conti,Newmark Grubb|CBI,Financial,"Appleton, WI",States,1/5/2021,No,Entire System
Conti,The Bay Family of Companies,Retail & Sales,"Green Bay, WI",States,12/26/2020,No,Entire System
Conti,UniPro Foodservice,Manufacturing,"Atlanta, GA",States,12/24/2020,No,Entire System
Conti,CareersUSA,Retail & Sales,"Boca Raton, FL",States,12/24/2020,No,Entire System
Conti,The Broe Group,Utilities,"Denver, CO",Colombia,12/24/2020,No,Entire System
Conti,220 Laboratories,Manufacturing,"Riverside, CA",States,12/24/2020,No,Entire System
Conti,seth wadley auto group,Financial,"Pauls Valley, OK",States,12/23/2020,No,Entire System
Conti,"Illuma Lighting Ltd. Illuma Commercial, Retail & Sales",Manufacturing,"Derbyshire,",Kingdom,12/19/2020,No,Entire System
Conti,Intersport GmbH,Retail & Sales,"Bern, Switzerland",Schweiz/Suisse/Svizzera/Svizra,12/16/2020,No,Entire System
Conti,VLC Distribution INC,Retail & Sales,"houstan, TX",States,12/16/2020,No,Entire System
Conti,floridapaints,Retail & Sales,"Orlando, FL",States,12/15/2020,No,Undisclosed
Conti,Samson Holding,Manufacturing,"Dongguan, China",China,12/14/2020,No,Entire System
Conti,La Prensa De San Antonio,Advertising & Marketing,"San Antonio, TX",States,12/14/2020,No,Undisclosed
Conti,Hantover Inc,Manufacturing,"Overland Park, KS",States,12/12/2020,No,Undisclosed
Conti,Kiolbassa Smoked Meats,Food,"San Antonio, TX",States,12/11/2020,No,Entire System
Conti,"Stewart, Gee-Murray cpa llp",Financial,Saskatoon SK,Canada,12/9/2020,No,Undisclosed
Conti,HT Medica,Healthcare,"Madrid, Spain",España,12/9/2020,No,Undisclosed
Conti,Quench,Utilities,"King of Prussia, PA",States,12/8/2020,No,Entire System
Conti,"Great Southern Wood Preserving, Incorporated",Manufacturing,"Abbeville, AL",States,12/7/2020,No,Undisclosed
Conti,Taylor County Appraisal District,Financial,"Abilene, TX",States,12/4/2020,No,Undisclosed
Conti,ProTel,Technology,"Dortmund, Germany",Deutschland,12/4/2020,No,Undisclosed
Conti,Riverside Community Care Inc,Essential Services,"Dedham, MA",States,12/3/2020,No,Undisclosed
Conti,"Tricull Industries, Inc. Cleaning Systems Company",Retail & Sales,"Mount Vernon, NY",States,12/2/2020,No,Undisclosed
Conti,Ixsight Technologies Pvt Ltd,Technology,"Maharashtra, India",India,12/2/2020,No,Undisclosed
Conti,Conn Selmer,Manufacturing,"Elkhart, Indiana, United States",States,11/30/2020,No,Entire System
Conti,BretzRV,Automotive,"Missoula, MT",States,11/27/2020,No,Entire System
Conti,Sunland Asphalt & Construction,Construction,"Phoenix, AZ",States,10/23/2020,No,Undisclosed
Conti,Hill Brothers Chemical Co. & Morgan Fabrics Corporation,Utilities,"Brea, CA",States,10/12/2020,No,Undisclosed
Conti,West End Lumber & Building Materials Supply,Retail & Sales,"Bridgeport, CT",States,9/24/2020,No,Undisclosed
Conti,Royal Manitoba Theatre Centre,Entertainment,"Winnipeg, Canada",Canada,9/11/2020,No,Undisclosed
Conti,Refrigeration Noel Inc,Retail & Sales,"Québec, QC",Canada,9/9/2020,No,Undisclosed
Conti,a1fiberglass,Manufacturing,"Hastings, NE",Kingdom,9/8/2020,No,Undisclosed
Conti,Murray Engineering PTY Ltd & FSI Architecture PC,Retail & Sales,"Waco, TX",States,9/2/2020,No,Undisclosed
Conti,"Naman Howell Smith & Lee, PLLC",Legal,"Waco, TX",States,8/28/2020,No,Undisclosed
Conti,"Echols Oil Company, Inc",Retail & Sales,"Greenville, SC",States,8/27/2020,No,Undisclosed
Conti,Axxess International Inc,Logistics and Supply,"Montreal, Canada",Canada,,No,Undisclosed
Conti,Master Kid Inc,Manufacturing,"Montréal, QC,",Canada,,No,Undisclosed
